platform,source_id,employee_type,employee_length,employee_location,rating_overall,cleaned_text,vader_score,vader_label,final_sentiment,primary_theme,theme_count,confidence,themes_str,views,would_they_return,human_sentiment,roberta_label,roberta_score,text_fingerprint,executive_theme,executive_theme_method,executive_theme_confidence,override_reason
Glassdoor,1,Current employee,0.0,"Richmond, VA",3.0,interactive leave take whenever long time easy work inhumane draining physically mentally dont micro manage,0.4019,positive,positive,T1_Physical_Degradation,2,HIGH,T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,5642acc2cd33387cf074f9359b6ca6bf06b9854ea1cdca95a34513aa7303d0b9,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,2,"Current employee, less than 1 year",1.0,"Brampton, ON",4.0,good easy work enviorment stick rule completing target otherwise get warning remove attitude manager warehouse,0.5267,positive,positive,T4_Supervisor_Inconsistency,1,LOW,T4_Supervisor_Inconsistency,,,,,,cc8d9d97f4ba81f769441cfe4e7affcd91d0d440d153313b0f20ee6aaaba0e48,Management & Communication,Direct pipeline map,LOW,
Glassdoor,3,"Current employee, less than 1 year",1.0,"Bolton, ON",5.0,help grow good pay limited opportunity advancementno clear path promotion,0.8271,positive,positive,T2_Nepotism_Advancement,2,HIGH,T2_Nepotism_Advancement | T3_Pay_Benefits,,,,,,fc93f013db54facb240b1bb1aa31df3cfa33116ddca2f326ceb1917e0f6b0610,Career Growth,Direct pipeline map,HIGH,
Glassdoor,4,Current employees,2.0,"Swedesboro, NJ",3.0,plenty work meet new people tough body labor intensive,-0.128,negative,negative,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,28e3957e5be9f1a4b90288f86a94d89ee23b549cbaab6b738b8e9c5d47ce82a6,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,5,Current employee,0.0,"Whitby, ON",4.0,good holiday pay additional benefit permanent employee hiring permanent employee directly,0.802,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T1_Physical_Degradation,,,,,,bdc8388ac4d8e56518aeebbe04d582772e1fa22ca30b6d11e3e65213783a4f0f,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,6,Former employees,2.0,"Kenosha, WI",3.0,nice people great pay benefit management care employee hour way long,0.9136,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,c918f66e1b48e913ef14935dfae20b2e92e4020f10cb49a243e8d1269894dc0c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,7,Current employees,4.0,"Oklahoma City, OK",4.0,learn lift truck pallet jack flex schedule shift fast paced working environment weight lifting physical strength,0.4939,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,88f31bd90ff68337d3bb611080302e17c1b62b8d7f0281af3099879df469d53b,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,8,Current employee,0.0,Not Specified,2.0,decent work wasnt miserable people charge wasnt good,0.0572,positive,positive,T4_Supervisor_Inconsistency,1,HIGH,T4_Supervisor_Inconsistency,,,,,,037b99e0899ca71f3ed596ac0d7a41294544cc966db032d44dd906810c53b8a1,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,9,"Former employee, less than 1 year",1.0,"Clarksville, TN",3.0,good pay long hour management absolutely terrible communicating get better,0.2516,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,7b4bfe40e57fd763a82629ce4b6dc1ee57693d67f2cb1f56050c6888d632c0cf,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,10,"Former employee, less than 1 year",1.0,"Appleton, WI",2.0,workout regularly routine habit work life less sleep,0.0,neutral,neutral,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,483e137fc5fd4352101d957d932623676cf1cacefa63d9dd29098fae5cbd2d87,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,11,Former employees,4.0,"Windsor, CT",5.0,tuition reimbursement schedule flexibility benefit salary overtime opportunity standing hour noise safety hazard overworking get write ups meeting rate expectation appreciation employee,0.9231,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,422e1dbe824f94b33126ced9f3a5f824ef65b0c69b7dccade45934c860288d0e,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,12,Current employee,0.0,"Sparrows Point, MD",3.0,benefit great start immediately workplace culture bad,0.5574,positive,positive,T4_Supervisor_Inconsistency,1,HIGH,T4_Supervisor_Inconsistency,,,,,,9fed0275c5eddccdd9b192c7cfd196c37231336d6c628598f35d8bfe1a90ec75,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,13,Former employee,0.0,"Ajax, ON",5.0,good pay stressfree hard working nightshift overtime con,0.2732,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,2405e72f9de86237a0d457a19c31a8743ee6ad3cdeadfa2e40683ae9314c9b6c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,14,Current employees,2.0,"Louisville, TN",3.0,day week good benefit usually available physical job prepare tired,0.4588,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,09d5f48bccb8dc76f7b7913e599323e272965a11cb2ff45dc48f4bb8e333f9bf,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,15,"Former employee, less than 1 year",1.0,"Suffolk, VA",4.0,good reference previous work con knowledge,0.4404,positive,positive,Untagged,0,NONE,Untagged,,,,,,a0f5bce49865e58e68b2e8823d7586ee73664c4f45b5de85d101dcf3f97aaa7d,Career Growth,Executive override,OVERRIDE,"Reference to prior knowledge is weak evidence, but it aligns more closely with advancement and employability than with pay, workload, management, or culture."
Glassdoor,16,"Former employee, less than 1 year",1.0,"Hamilton, ON",2.0,people great fired without notification one day badge didnt work wasting time bus fare lose hiring bias know mean,-0.088,negative,negative,T2_Nepotism_Advancement,1,LOW,T2_Nepotism_Advancement,,,,,,9ff6f5686f273364721e3962e2619b081a5fd0de13a6b55853ca443f02172ecb,Career Growth,Direct pipeline map,LOW,
Glassdoor,17,"Former employee, less than 1 year",1.0,Not Specified,5.0,quality work lot learn contract extenscion hard find anything amazon,0.0772,positive,positive,T2_Nepotism_Advancement,1,LOW,T2_Nepotism_Advancement,,,,,,f45cecf61b6570acc14c19be8f49405644e3e2e3cd94cbecd2b93c43e0267e3a,Career Growth,Direct pipeline map,LOW,
Glassdoor,18,Current employees,2.0,"Ottawa, ON",3.0,nice start student long term job,0.4215,positive,positive,T2_Nepotism_Advancement,1,HIGH,T2_Nepotism_Advancement,,,,,,f3ec0ef388b31acd69a483baca462346ba543bccc1628822d47887bce6e6e0a8,Career Growth,Direct pipeline map,HIGH,
Glassdoor,19,Current employee,0.0,"Durham, NC",4.0,flexible schedule felx work feel repetitive boring,-0.34,negative,negative,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T1_Physical_Degradation,,,,,,d35f60c92f1ac361e3267cc8ba25b8a2df627753680564fc2ec23e8982bf7b57,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,20,Current employees,2.0,"Reno, NV",4.0,nice place work nice hour night shift pmam upt pto vacation favoritism like job,0.8316,positive,positive,T3_Pay_Benefits,4,HIGH,T3_Pay_Benefits | T2_Nepotism_Advancement | T4_Supervisor_Inconsistency | T5_Bathroom_Dignity,,,,,,13ba2564643fa24ea2a0a24db077f4e1d56fbac37b162b21fc06d4fe28e440b3,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,21,Former employees,2.0,"Chicago, IL",3.0,peak season good pay great hour peak season leave struggling get better scheduling,0.7579,positive,positive,T3_Pay_Benefits,1,HIGH,T3_Pay_Benefits,,,,,,23e02f040d09bfe29e5e9d857a9f77e8a7d2bf2c1e25db9a99e6cc293f834656,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,22,Current employees,4.0,"Cambridge, ON",4.0,good pay process assistant bit stressful honest tight workload station,0.3612,positive,positive,T3_Pay_Benefits,1,HIGH,T3_Pay_Benefits,,,,,,a7c71fa715e2092002938f2556d62d05185d74351c1fd897c75ece6ddc1f3e16,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,23,"Former employee, less than 1 year",1.0,Winsen (Luhe),1.0,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und da erlernen neuer prozesse erfährt dieser werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn ihren toxischen standard nicht mit den niedrigsten manieren gerecht wirst da management gibt vor sich sie kümmern und sie kennen lernen und ihnen helfen wirklichkeit geht aber darum sie auszubeuten und der schwebe halten,-0.9485,negative,negative,T1_Physical_Degradation,2,LOW,T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,5c5e09af7915a465c70587f4be570a2aeca2978115a7ea058a46ac8d383cbede,Workload & Burnout,Direct pipeline map,LOW,
Glassdoor,24,Former employees,2.0,"Barrhaven, ON",4.0,wage increase month great fulltime benefit work perk discount venngo warehouse repetitive work corporation like layout dull great people management,0.9062,positive,positive,T1_Physical_Degradation,3,HIGH,T1_Physical_Degradation | T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,9e581fbda522abf7b821ecba8de4ad87fc34a0878d08dbb213793f5118018397,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,25,Current employees,2.0,"Hamilton, ON",4.0,good wage warehouse associate working environment get little bit noisy,0.3566,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,22de0442a934cabb6f61da9a72bd8424850dad0ff3926118e871a74c00d18416,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,26,"Current employee, less than 1 year",1.0,"Saint Peters, MO",1.0,always hour available anytime pay long hour minimal light write bathroom break mandatory overtime little head place drain emotionally physically,-0.0258,neutral,neutral,T3_Pay_Benefits,4,HIGH,T3_Pay_Benefits | T5_Bathroom_Dignity | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,b2118bd32fba3a80e5fe7ab4dbed843365b3ce75d78a1a7f79b87ec412cc279c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,27,Current employee,0.0,"Corona, CA",4.0,easy starter job work fast paced employment depends management,0.4404,positive,positive,T1_Physical_Degradation,2,LOW,T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,b8bcf6e3e20d1d7882e7cb31d9f846178926fb1dc30b24abe8c443ee1669f074,Workload & Burnout,Direct pipeline map,LOW,
Glassdoor,28,Current employee,0.0,Illescas,3.0,seguridad compañerismo comodidad rotativos adaptabilidad trabajo cansado fine semana posibilidad cobrar más,0.2023,positive,positive,LANG_NOT_SUPPORTED,0,NONE,LANG_NOT_SUPPORTED,,,,,,d7c62b55f7e2a11b9208ccfd6c3a394d1c9d55717df681c71b5ae1e31fe07acf,Workload & Burnout,Executive override,OVERRIDE,"The translated signal emphasizes rotating schedules, tiring work, and weekend load, so workload pressure is the dominant executive reading."
Glassdoor,29,Former employee,0.0,"San Bernardino, CA",4.0,benefit bad pay con easy work people complain,-0.128,negative,negative,T3_Pay_Benefits,1,MEDIUM,T3_Pay_Benefits,,,,,,b5a1c40fb3a05e8e328691db643fc2c374fe580a28a05756a705797690ea114b,Compensation & Benefits,Direct pipeline map,MEDIUM,
Glassdoor,30,"Current employee, less than 1 year",1.0,"Aurora, CO",5.0,flexible schedule day hour shift low stress environment frequent overtime opportunity monotonous work particularly rewarding work work become slow january may,0.5413,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,0603cbf4b2456e5503926c38b8e1499657ea4d8e641213c1bb7755ef0f046e91,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,31,Former employee,0.0,Coslada,4.0,buen sueldo ambiente laboral agradable respeto por la norma seguridad descanso muy corto muchos jefes por que la ordenes pueden variar uno otro puede confundir empleado,0.0,neutral,neutral,T1_Physical_Degradation,2,LOW,T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,c9ed77967f40d429af06b97a3d2e1a71ea1382274ba0fc4679055cc54f5898e7,Workload & Burnout,Direct pipeline map,LOW,
Glassdoor,32,Current employees,2.0,"Ottawa, ON",3.0,best class work environment experience working robotic environment competitive work benefit accommodation much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skill ability personal connection nepotism work training promotion preferred job role try focus employee engagement break barrier community race personal bias give opportunity employee grow rather nurturing neo slavery attitude many associate skilled experienced working warehouse due personal situation leadership give opportunity optimize skill experience rather taking advantage utilizing labor work,0.9545,positive,positive,T4_Supervisor_Inconsistency,4,HIGH,T4_Supervisor_Inconsistency | T2_Nepotism_Advancement | T1_Physical_Degradation | T5_Bathroom_Dignity,,,,,,e785e200258207e64a7e1dc6057233a39d78bd03299b7141409ba810ceccf1f9,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,33,"Former employee, less than 1 year",1.0,"Edgemere, MD",4.0,good benefit decent time opportunity automatic hire without interview management move around building lot top performer order picking moved pack nearly every day,0.8591,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,5326b1381d82cc45450684c21013248f6eb3c509273daab5b16bcc99d5ee99e7,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,34,"Former employee, less than 1 year",1.0,"San Antonio, TX",4.0,pay want college lot work,-0.0258,neutral,neutral,T3_Pay_Benefits,1,MEDIUM,T3_Pay_Benefits,,,,,,dc7d4f0374176613d399ee473f6bbb69a194b06eca406cebcdc72256c57f2e3b,Compensation & Benefits,Direct pipeline map,MEDIUM,
Glassdoor,35,Current employees,2.0,"Ajax, ON",3.0,good pay benefit good people safety first biased management work like robot growthopportunities,0.891,positive,positive,T3_Pay_Benefits,4,HIGH,T3_Pay_Benefits | T2_Nepotism_Advancement | T4_Supervisor_Inconsistency | T5_Bathroom_Dignity,,,,,,040d0dfb952ad3987f9a8efe74b60661305c86ef4f07d704100a76ab06c0e4f4,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,36,Former employee,0.0,"Grand Rapids, MI",3.0,close home glove strong enough,0.5106,positive,positive,Untagged,0,NONE,Untagged,,,,,,1bef56d43344447e842ee8a9e27c31cf98d2665d141be8d299d05b6586b656f7,Workload & Burnout,Executive override,OVERRIDE,"The mention of inadequate gloves points to physical working conditions rather than pay, management, or advancement."
Glassdoor,37,Current employee,0.0,"Tracy, CA",3.0,good experience fresh college graduate loud noise fulfillment center,0.6369,positive,positive,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,c77dc185f7c1f014e4226d442971edc01f29affb58da37980e80c4e98bc767ce,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,38,"Former employee, less than 1 year",1.0,"West Jefferson, OH",4.0,name name,0.0,neutral,neutral,Untagged,0,NONE,Untagged,,,,,,2f8155dc8ed83ccca5f1babdbf2cb3ae74a525589259fcb534a54eee06439700,Work Culture,Executive override,OVERRIDE,This row is non-informative placeholder text. It is assigned to the lowest-signal residual theme to preserve one-theme comparability and is disclosed as an override.
Glassdoor,39,"Former employee, less than 1 year",1.0,"Brampton, ON",5.0,good work culture pay also event extracurriculam activity quiet racist employee belong one group race,-0.3612,negative,negative,T4_Supervisor_Inconsistency,1,HIGH,T4_Supervisor_Inconsistency,,,,,,a5efffac9c04b79745db685790b8ba4c001b7eda85b78f28a7fb62fed6ff97da,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,40,Current employees,2.0,"London, ON",5.0,work life balance benefit mandatory extra time required,0.5106,positive,positive,T1_Physical_Degradation,2,HIGH,T1_Physical_Degradation | T3_Pay_Benefits,,,,,,2557eeb33082816d437dd7156436e528d67a285d9888efc898e936210907b1c5,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,41,Former employee,0.0,Not Specified,4.0,pay benefit really good toxic work environment favoritism,0.7574,positive,positive,T3_Pay_Benefits,2,MEDIUM,T3_Pay_Benefits | T2_Nepotism_Advancement,,,,,,b3355200d77e67f9319cce703627a852fc2a24c5bbeca65720d6b00d0a1e4335,Compensation & Benefits,Direct pipeline map,MEDIUM,
Glassdoor,42,Former employee,0.0,"Mississauga, ON",4.0,attractive pay employee benefit contractual basis hiring based business need,0.6705,positive,positive,T3_Pay_Benefits,1,MEDIUM,T3_Pay_Benefits,,,,,,ccef881607b1c742ba3bdf8fc5c974269765ea4de4f7c21cc4e4852e73b8cc86,Compensation & Benefits,Direct pipeline map,MEDIUM,
Glassdoor,43,Current employee,0.0,Not Specified,4.0,muy buenos beneficios exelente ambiente trabajo ambiente trabajo muy seguro posibilidad hacer carrera dentro empresa salario esta mal pero podría mejorar mucho más para trabajo que hace allí horarios rotativos permite crear hábitos saludables que constantemente estás cambiando rutina diaria trabajo fine semana trabajo muy repetitivo tener coche propio que hay manera trasladarse transporte público,0.2023,positive,positive,LANG_NOT_SUPPORTED,0,NONE,LANG_NOT_SUPPORTED,,,,,,57550f6f926c75853019e5b20913bd994de29ac6727267c829051c673cbe605f,Compensation & Benefits,Executive override,OVERRIDE,"The text mentions several issues, but salary and benefits are the clearest executive complaint in a one-theme decision model."
Glassdoor,44,Former employees,4.0,"San Antonio, TX",2.0,pay comparable ops poor work life balance lack leadership stressful job clear way promotion anyone help get,-0.5859,negative,negative,T3_Pay_Benefits,4,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency | T2_Nepotism_Advancement,,,,,,9b5414f39197f841cd0b7bc23ceebdf7381bb615d736adb097f5fe2ccd477bf2,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,45,Current employee,0.0,"Bolton, ON",4.0,career choice program great way start new career good benefit coworkers speak non english infront,0.875,positive,positive,T3_Pay_Benefits,1,HIGH,T3_Pay_Benefits,,,,,,1c6f51e552bbee0ce9e71272aa1d8e57a4db782e34a000e97accda12cf8833bb,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,46,Current employee,0.0,"Waukegan, IL",5.0,room excel position extra shift never available,0.4588,positive,positive,T4_Supervisor_Inconsistency,2,HIGH,T4_Supervisor_Inconsistency | T3_Pay_Benefits,,,,,,08e7206985f23a2eb8b08cf9bb9ab40990b8bfe6421655f6ab75e47a2b57cfc0,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,47,Current employees,2.0,"Kent, WA",5.0,choose hour work bad get use could moved around lot depending different department sometimes hard find shift want work,-0.5574,negative,negative,T4_Supervisor_Inconsistency,2,HIGH,T4_Supervisor_Inconsistency | T3_Pay_Benefits,,,,,,2797cf89c7a577c5a8689d962dfaf8cc6c21158c988dfee7fec8f3735d01fc20,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,48,Current employees,2.0,Not Specified,3.0,pay benefit provide like maternity accommodation insurance worklife balance continuous work without sitting almost location public transportation lack chance promotion new skill show giving fair chance everyone true ground level people certain community especially punjabi got promotion manager level lack support giving proper information actually need safety ground level compromised manager bcz want productivity get promotion people always praised manager got extrabenefits work able learn new skill hardworking associate provide everyone equal chance make manager responsible towards associate bcz sometimes associate dont know actual information ask help manager say safety team hiring position specially paprocess assistant learning need evaluated based ground level performance based connection relative higher position get hired learning safety team need responsible bcz mostly dont took action manager need productivity get promoted associate presurised maintain productivity compromise safety ultimately creates critical health issue associate associate got less work promoted learn new skill compared others favourite manager relative plz stop fair everyone,0.9916,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T2_Nepotism_Advancement | T4_Supervisor_Inconsistency,,,,,,263f0b54c9130c58e415a77e8e5d2aff09a98217084dc79334b9dd508da5eb34,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,49,Former employees,2.0,"Bessemer, AL",3.0,got plenty time mental stuff needed place would fired company mightve contributed alot needed much time lmao understood safety risk thing rule something distract noise head hr day day youre someone like kinda rough almost torturous let people listen music man lol,0.2398,positive,positive,T1_Physical_Degradation,1,LOW,T1_Physical_Degradation,,,,,,8bd2e07b114b9dacd4770d85e0062aeb8dd16f96be4dc07f2993ec4a210e4760,Workload & Burnout,Direct pipeline map,LOW,
Glassdoor,50,Current employees,4.0,"Hawthorne, CA",5.0,great experience got see warehouse built ground became repetitive point,0.4767,positive,positive,T1_Physical_Degradation,1,LOW,T1_Physical_Degradation,,,,,,9ad5a0f829d5e0e610a2786022a168af91d21a24b1c1c005050c83e63c467ee2,Workload & Burnout,Direct pipeline map,LOW,
Glassdoor,51,Current employees,6.0,Sydney,1.0,bit learning right place right team assigned right team member mentor dont bother joining though financial perk since dont casualcontract role contract cleverly worded get work weekendsnight shift without offering weekendnight shift allowance oncall pay either reimburse mobile bill seen culture department excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamic unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism apply practice preach ensure followed employee lower tier organization hierarchy train leader make sure due deligence role training future leader wont make bigger impact current leader exercising bias toxic trait moving ladder,0.7458,positive,positive,T4_Supervisor_Inconsistency,4,HIGH,T4_Supervisor_Inconsistency | T3_Pay_Benefits | T2_Nepotism_Advancement | T1_Physical_Degradation,,,,,,4a2507f544d51943f4f90958fe32cd90ac7fa3af476e416742a7a71239667fdd,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,52,Former employees,2.0,"Whitestown, IN",4.0,good place work lot hour keep busy time con low pay insurance temp service position better pay hire opportunity insurance employee,0.6908,positive,positive,T3_Pay_Benefits,3,MEDIUM,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,bc638259b4ebebb94180c93209e84a2efd4cd071b89992ae1929b1bfbc9aa0ae,Compensation & Benefits,Direct pipeline map,MEDIUM,
Glassdoor,53,Former employees,4.0,Not Specified,1.0,stock given bonus take year fully vest negative expectation work day per week always available via phone even work hour expected youre home upper management promotion based achievement team response yes man last gmagm extremely unethical promoted people would lie also fudged number value honesty ethic treat people better promote based result politics set regional record unable get promoted since wouldnt lie situation agm apart shady,0.9486,positive,positive,T2_Nepotism_Advancement,4,HIGH,T2_Nepotism_Advancement | T3_Pay_Benefits | T4_Supervisor_Inconsistency | T5_Bathroom_Dignity,,,,,,8747009e4e23b373874a0e73ec0bcd47a30eedc374aa5fd6072d5ca4cccafdd9,Career Growth,Direct pipeline map,HIGH,
Glassdoor,54,Former employee,0.0,"Dallas, TX",3.0,easy job move desired physically demanding care rate,0.743,positive,positive,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,2db877d4c83aa7e5b9d1f243028fd7a714b60751b03d1fe37993572caaf553b7,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,55,Current employees,2.0,"St. Thomas, ON",5.0,competitive pay benefit opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required repetitive task exhausting improve break time workload balance reduce fatigue increase employee retention,0.8779,positive,positive,T3_Pay_Benefits,5,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency | T1_Physical_Degradation | T2_Nepotism_Advancement | T5_Bathroom_Dignity,,,,,,5a64bf95fbeb27a0b8d4dfe36e7d9bdaa6475b6d65f50310c33517506bafe6a1,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,56,Former employee,0.0,"Illiopolis, IL",3.0,insane scope opportunity perk part huge company untalented people position gone far playing politics hard advance dont agreeable personanlity,0.12,positive,positive,T2_Nepotism_Advancement,2,MEDIUM,T2_Nepotism_Advancement | T4_Supervisor_Inconsistency,,,,,,c26396c5768cd18d023ac6cfedb8d4754f23052241403d80945873ed98829551,Career Growth,Direct pipeline map,MEDIUM,
Glassdoor,57,"Former employee, less than 1 year",1.0,"Joliet, IL",4.0,pay peak timebonus payhours chill staff labor lack available resourcespeople worker request trouble job apppay,-0.6597,negative,negative,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency | T1_Physical_Degradation,,,,,,1238c9cdf28ada2694a229343a5152af759436786a4685fbdc16b604c9ba904c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,58,Former employees,2.0,"San Francisco, CA",5.0,flexible schedule adjust time much competition sometimes got lower price much get deal good profit,0.6705,positive,positive,T3_Pay_Benefits,1,HIGH,T3_Pay_Benefits,,,,,,80b8db220603d3f51a9e96ab6ffdfa0dab0646ddaf913b7b02bd9cd9ac88d98e,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,59,Current employee,0.0,"Swindon, Wiltshire, South West England, England",5.0,good working environment good pay heavy lifting sometimes stressful,0.2732,positive,positive,T1_Physical_Degradation,2,HIGH,T1_Physical_Degradation | T3_Pay_Benefits,,,,,,269c428a19ec1988b2e01af7d8f0d62f40e9c527e4e7c6c0032cccee75e68896,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,60,Former employee,0.0,"Fort Wayne, IN",3.0,easiest job ever get rid whenever want,0.4767,positive,positive,T4_Supervisor_Inconsistency,1,LOW,T4_Supervisor_Inconsistency,,,,,,5b156ab92551a1fe99b2c1b7642e0eee994861cea1bf988d85d8e6216969cfad,Management & Communication,Direct pipeline map,LOW,
Glassdoor,61,Former employees,4.0,Orléans,5.0,très bonne école salaires généreux avantageux demande investissement personnel important,0.2023,positive,positive,LANG_NOT_SUPPORTED,0,NONE,LANG_NOT_SUPPORTED,,,,,,0416c6647b5d9c5282fb0129cd2ceb871e1116bffcc4be82bd77157894879365,Compensation & Benefits,Executive override,OVERRIDE,Salary and advantages are the clearest dominant theme in the translated content.
Glassdoor,62,"Former employee, less than 1 year",1.0,"Koblenz, Rhineland-Palatinate",1.0,angemessen bezahlt und gibt kein dresscode bi auf stahlkappenschuhe verbot die security nervt ich weiß jemand von denen hat einen sender von dem magnet tor man rein und raus geht da tor hat sogar dann gepiepst al ich metal hatte ehrliche security mitarbeiter anstellen,-0.0258,neutral,neutral,LANG_NOT_SUPPORTED,0,NONE,LANG_NOT_SUPPORTED,,,,,,1a92028404bd6f84cc53c6f3360d549cd7bb9cc27859485b8605af57571abe3c,Work Culture,Executive override,OVERRIDE,"The complaint is primarily about intrusive security behavior and daily treatment, which fits culture and dignity more than pay."
Glassdoor,63,Current employees,4.0,"San Antonio, TX",4.0,name name,0.0,neutral,neutral,Untagged,0,NONE,Untagged,,,,,,2f8155dc8ed83ccca5f1babdbf2cb3ae74a525589259fcb534a54eee06439700,Work Culture,Executive override,OVERRIDE,This row is non-informative placeholder text. It is assigned to the lowest-signal residual theme to preserve one-theme comparability and is disclosed as an override.
